Datetime,Temperature
6/10/2024 1:00,16.6
6/10/2024 2:00,16.4
6/10/2024 3:00,16.5
6/10/2024 4:00,15.4
6/10/2024 5:00,16
6/10/2024 6:00,16.3
6/10/2024 7:00,16.5
6/10/2024 8:00,16.4
6/10/2024 9:00,17.4
6/10/2024 10:00,18
6/10/2024 11:00,21.2
6/10/2024 12:00,19.5
6/10/2024 13:00,19.3
6/10/2024 14:00,20.2
6/10/2024 15:00,17.9
6/10/2024 16:00,18.6
6/10/2024 17:00,17.9
6/10/2024 18:00,17.1
6/10/2024 19:00,18.3
6/10/2024 20:00,18.1
6/10/2024 21:00,17.1
6/10/2024 22:00,16.7
6/10/2024 23:00,16
6/11/2024 0:00,16.3
6/11/2024 1:00,16.3
6/11/2024 2:00,16
6/11/2024 3:00,15.6
6/11/2024 4:00,15.2
6/11/2024 5:00,15.5
6/11/2024 6:00,16.3
6/11/2024 7:00,18.3
6/11/2024 8:00,18.7
6/11/2024 9:00,19.2
6/11/2024 10:00,21.2
6/11/2024 11:00,23.4
6/11/2024 12:00,17.4
6/11/2024 13:00,18.9
6/11/2024 14:00,19.6
6/11/2024 15:00,19.1
6/11/2024 16:00,17.4
6/11/2024 17:00,19.1
6/11/2024 18:00,18.1
6/11/2024 19:00,18
6/11/2024 20:00,17.2
6/11/2024 21:00,17.2
6/11/2024 22:00,16.5
6/11/2024 23:00,16.6
6/12/2024 0:00,17
6/12/2024 1:00,16.8
6/12/2024 2:00,15.7
6/12/2024 3:00,16.4
6/12/2024 4:00,16.4
6/12/2024 5:00,16.9
6/12/2024 6:00,17.4
6/12/2024 7:00,20.1
6/12/2024 8:00,21.8
6/12/2024 9:00,20.1
6/12/2024 10:00,19.6
6/12/2024 11:00,19.2
6/12/2024 12:00,19.3
6/12/2024 13:00,21.8
6/12/2024 14:00,19.1
6/12/2024 15:00,19.8
6/12/2024 16:00,18.2
6/12/2024 17:00,17.9
6/12/2024 18:00,17.4
6/12/2024 19:00,18
6/12/2024 20:00,16.4
6/12/2024 21:00,15.9
6/12/2024 22:00,15.4
6/12/2024 23:00,15.7
6/13/2024 0:00,17.5
6/13/2024 1:00,16.3
6/13/2024 2:00,15.3
6/13/2024 3:00,15.6
6/13/2024 4:00,15
6/13/2024 5:00,13.2
6/13/2024 6:00,12.3
6/13/2024 7:00,12.5
6/13/2024 8:00,12.5
6/13/2024 9:00,12.6
6/13/2024 10:00,12.3
6/13/2024 11:00,12.1
6/13/2024 12:00,12.1
6/13/2024 13:00,11.8
6/13/2024 14:00,11.1
6/13/2024 15:00,10.7
6/13/2024 16:00,10.2
6/13/2024 17:00,10.1
6/13/2024 18:00,9.9
6/13/2024 19:00,9.7
6/13/2024 20:00,9.9
6/13/2024 21:00,9.8
6/13/2024 22:00,9.9
6/13/2024 23:00,9.8
6/14/2024 0:00,9.8
6/14/2024 1:00,9.7
6/14/2024 2:00,9.6
6/14/2024 3:00,9.5
6/14/2024 4:00,9.7
6/14/2024 5:00,9.8
6/14/2024 6:00,9.8
6/14/2024 7:00,9.8
6/14/2024 8:00,10
6/14/2024 9:00,10.5
6/14/2024 10:00,11.1
6/14/2024 11:00,10.7
6/14/2024 12:00,12.2
6/14/2024 13:00,12
6/14/2024 14:00,11.7
6/14/2024 15:00,11.5
6/14/2024 16:00,11.6
